"shortdescription","regex","attemptregex"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b+a+)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2}[a-b]*[a]{3}"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Every b followed by two or more a's","(a|baa)*","(ba{2,})*"
"At least one a followed by one b","a+b ","a(a*b)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+(aaa)+"
"Every b followed by two or more a's","(a|baa)*","(a|b*a{2,})"
"Every b followed by two or more a's","(a|baa)*","(a|b)(a|b)+(aaa)+"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|(b[a]{2})+)*"
"At least one a followed by one b","a+b ","(a|b)*(ab)"
"At least one a followed by one b","a+b ","(a)*b"
"Every b followed by two or more a's","(a|baa)*","a*(baa(a)*)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*bb)*a*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","a(a)*b"
"At least one a followed by one b","a+b ","a(a)*b"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","a*b"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*bb*)*"
"Every b followed by two or more a's","(a|baa)*","(a|baa)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","(a+b)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)*aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)*aaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaaa*"
"Every b followed by two or more a's","(a|baa)*","a|(ba{2,})"
"Every b followed by two or more a's","(a|baa)*","a*(ba{2,})*"
"Every b followed by two or more a's","(a|baa)*","a*(ba{2,})*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a|ba*b)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)*(aaa+))"
"Every b followed by two or more a's","(a|baa)*","a*(baa*)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)+(aaa+))"
"Every b followed by two or more a's","(a|baa)*","(a*(baa)*)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*(aaa(a)*)*"
"At least one a followed by one b","a+b ","a*b"
"Every b followed by two or more a's","(a|baa)*"," a*|(?:a*|(b[a]{2})+)*"
"At least one a followed by one b","a+b ","a+b"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","a+b"
"Odd number of b's","(a*ba*b)*a*ba*","((b)(a)+)|((bbb)+(a)*)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((b)+(aaa+))"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","a+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b){2,}(aaa+)"
"At least one a followed by one b","a+b ","a+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[ab][ab]aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[ab][ab]+aaa"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Every b followed by two or more a's","(a|baa)*","(baa+)*"
"Every b followed by two or more a's","(a|baa)*","(a*(baa)*)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(ab*)aaaa*"
"At least one a followed by one b","a+b ","a*b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)a*b*aaaa*"
"Every b followed by two or more a's","(a|baa)*","a*(baa+)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa+"
"Every b followed by two or more a's","(a|baa)*","b*a+"
"Every b followed by two or more a's","(a|baa)*","b*aa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*(aaa(a)*)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)(a|b))aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a*|b*)(a*|b*))aaa"
"At least one a followed by one b","a+b ","(a*|)b"
"Odd number of b's","(a*ba*b)*a*ba*","((a|b)a+b)+"
"At least one a followed by one b","a+b ","aa*b"
"At least one a followed by one b","a+b ","a(a*)b"
"Every b followed by two or more a's","(a|baa)*","a*|(?:a*|(b[a]{2})+)*"
"Every b followed by two or more a's","(a|baa)*","((a)*baa+)+"
"Odd number of b's","(a*ba*b)*a*ba*"," a*b(a*ba*b)*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a*(b(aa+))*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a*(b(aa+))*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","[a-b]{2}[a-b]*[a]{3}"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)*(a|b)*aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaa(a*)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+(a|b)+aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","aba|b*aaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)*aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)*aaa+"
"Odd number of b's","(a*ba*b)*a*ba*","((a|bb)(a|b)(a|bb))+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+aaa+"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)(a|b))+aaa+"
"At least one a followed by one b","a+b ","aa*b"
"Every b followed by two or more a's","(a|baa)*","((a)|((b)(aa)(a)*)*)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Every b followed by two or more a's","(a|baa)*","(a*)(b(aa))*"
"Every b followed by two or more a's","(a|baa)*","(a*(baa)*)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Every b followed by two or more a's","(a|baa)*","a*(b(aa)+)*"
"Every b followed by two or more a's","(a|baa)*","a*(b(aa)+)*a*"
"Every b followed by two or more a's","(a|baa)*","a*(baaa*)*"
"Every b followed by two or more a's","(a|baa)*","(a|(b*aa))*"
"Every b followed by two or more a's","(a|baa)*","(a|(baa))*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)+a*b*(aaa)a*"
"Odd number of b's","(a*ba*b)*a*ba*","(b*ab*)(ab*ab*)*"
"Every b followed by two or more a's","(a|baa)*","((a)*(b+aa)+)+|[a]*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","(a|b)*b"
"Odd number of b's","(a*ba*b)*a*ba*"," (a*(b)((a)*bb)*(a)*)"
"At least one a followed by one b","a+b ","(a|b)+b"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a|ba*b)*"
"Every b followed by two or more a's","(a|baa)*","a*(ba{2}a*)*a*"
"Odd number of b's","(a*ba*b)*a*ba*","(a*ba*)(ba*ba*)*"
"Odd number of b's","(a*ba*b)*a*ba*","b(b)*|(b)*b"
"At least one a followed by one b","a+b ","(a*b)"
"At least one a followed by one b","a+b ","a|b*a*b"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(ba*ba*)*"
"At least one a followed by one b","a+b ","(a|b)*a*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)+(baa)(a*b*)b"
"Every b followed by two or more a's","(a|baa)*","(a*)*(baa)*"
"At least one a followed by one b","a+b ","(a|b)*(a)*b"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(ba*ba*)*"
"Every b followed by two or more a's","(a|baa)*","((a*)*(baa)*)*(a*)"
"At least one a followed by one b","a+b ","(a*b)"
"At least one a followed by one b","a+b ","(a*b|a)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*)+(baa)(a*b*)*b"
"At least one a followed by one b","a+b ","(a*b)*a"
"At least one a followed by one b","a+b ","(a)*(ab)"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(a*ba*ba*)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)*(aaa)*"
"At least one a followed by one b","a+b ","(a*b)"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a|ba*b)*"
"At least one a followed by one b","a+b "," (a|b)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a|b)((a|b)(a|b))*"
"At least one a followed by one b","a+b "," (a+b)"
"Odd number of b's","(a*ba*b)*a*ba*","(b)((a|b)(a|b))*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a*b*)*a*a*a"
"Odd number of b's","(a*ba*b)*a*ba*","(((a*)*b)*b)*((a*)+b)"
"Odd number of b's","(a*ba*b)*a*ba*","(((a*)*b)*b)*(b)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(b*a*)*a*a*a"
"Odd number of b's","(a*ba*b)*a*ba*","(((a*)*(b*))*(b*))+b+(((a*)*(b*))*(b*))"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a|ba*b)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Odd number of b's","(a*ba*b)*a*ba*","((a*(bb))*((a)*b)(a)*)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a*b(a|ba*b)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a|ba*b)*"
"At least one a followed by one b","a+b ","a+b"
"Every b followed by two or more a's","(a|baa)*","(baa+)*"
"Odd number of b's","(a*ba*b)*a*ba*","((a*(bb))*((a)*b)(a)*(a*(bb))*)"
"Odd number of b's","(a*ba*b)*a*ba*","(aa|ab|ba|bb)*b"
"Odd number of b's","(a*ba*b)*a*ba*","(((a*)+b+(a*)+b+(a*))|(a*))+b+(((a*)+b+(a*)+b+(a*))|(a*))"
"Every b followed by two or more a's","(a|baa)*","(a|baa)*"
"Every b followed by two or more a's","(a|baa)*","(a|baa)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*(ba*ba*)*ba"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a*b|aaa)*"
"Odd number of b's","(a*ba*b)*a*ba*","(a|b)((a|b)(a|b))*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)*(a|b)*aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a*baaa)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a*b*aaa)*"
"Every b followed by two or more a's","(a|baa)*","(baa)*a*"
"Every b followed by two or more a's","(a|baa)*","a*(baa)*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)(a|b)*aaaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa+"
"Every b followed by two or more a's","(a|baa)*","(a*)(b(aa)a*)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa+)*a*"
"Every b followed by two or more a's","(a|baa)*","a*(b(aa)+)"
"Every b followed by two or more a's","(a|baa)*","(a|b)(b*a(a)*)"
"Every b followed by two or more a's","(a|baa)*","a*(b(aaa*))*a*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)a*b*(aaa)a*"
"Odd number of b's","(a*ba*b)*a*ba*","(a)*((a)*b(a)*b(a)*)*b(a)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b((a)*b(a)*b)*a*"
"Every b followed by two or more a's","(a|baa)*","a*(b(aa+))*a*"
"Every b followed by two or more a's","(a|baa)*","(a|(b*a(a)*))*"
"Every b followed by two or more a's","(a|baa)*","a*(b(aa+))*a*"
"Every b followed by two or more a's","(a|baa)*","((a)*(b+aa+))+|[a]*"
"At least one a followed by one b","a+b ","(a)*(b)"
"At least one a followed by one b","a+b ","(a|b)*"
"At least one a followed by one b","a+b ","(a|b)*(b)"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"At least one a followed by one b","a+b ","(a*)+b"
"Odd number of b's","(a*ba*b)*a*ba*","(a*(b)((a)*bb)*(a)*)|(a*)"
"At least one a followed by one b","a+b ","aa*b"
"At least one a followed by one b","a+b ","a+(a*)+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(ab|ba)*(aaa)*"
"Every b followed by two or more a's","(a|baa)*","(a*(baa)*)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*aaa"
"Every b followed by two or more a's","(a|baa)*","a*(a|baa)*"
"Odd number of b's","(a*ba*b)*a*ba*"," a*b(a|ba*b)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*(aaa)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(ba*b|a)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)*(a|b)*(aaa)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+(a|b)+(ab*)+a+a+a"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+(ab*)+a+a+a"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+(aaa)+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+(aaa)+"
"At least one a followed by one b","a+b ","(a|b)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+(a|b)+((a*)|(b*))+a+a+a"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)aaa+"
"Every b followed by two or more a's","(a|baa)*","a*(ba{2}a*)*a*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(a*ba*ba*)*"
"Every b followed by two or more a's","(a|baa)*","(a|baa+)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a+b)*(b+aaa)"
"Odd number of b's","(a*ba*b)*a*ba*","(a*(b)((a)*bb)*(a)*(a*(b))*)"
"Odd number of b's","(a*ba*b)*a*ba*","aa(b*|ba)"
"Odd number of b's","(a*ba*b)*a*ba*","(((a*)+b+(a*)+b+(a*))*)+b+(((a*)+b+(a*)+b+(a*))*)"
"Every b followed by two or more a's","(a|baa)*","(a|baa)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)aaa+(a|b)*"
"Odd number of b's","(a*ba*b)*a*ba*","(b)((a|b)(a|b))*"
"Every b followed by two or more a's","(a|baa)*","a*baaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)(a|b)*aaa+"
"Every b followed by two or more a's","(a|baa)*","(a|b)*baaa*"
"At least one a followed by one b","a+b ","a(a)*b"
"Every b followed by two or more a's","(a|baa)*","(b|a)*baaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)+a*b*(aaa)a*"
"Every b followed by two or more a's","(a|baa)*","a*baaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)(a|b))+aaa+"
"Every b followed by two or more a's","(a|baa)*","(a*)(b(aa)a*)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)*(a|b))+aaa+"
"Odd number of b's","(a*ba*b)*a*ba*","(a|b)*(b)"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(ba*ba*)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)*(a|b))aaa(a)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)*(a|b))aa(a)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)*(a|b))(aaa)+"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*baa(a|b)*b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)*(aaa)"
"Every b followed by two or more a's","(a|baa)*","(a|(baa))*"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(aa*|a*b*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","((aa*)|(a*b*))"
"Every b followed by two or more a's","(a|baa)*","(a|(baaa))*"
"Odd number of b's","(a*ba*b)*a*ba*","b(bb)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b"
"At least one a followed by one b","a+b ","a+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)(a|b))*aaa"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a|b*aaa"
"At least one a followed by one b","a+b ","(a)+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b){3}(a|b)*aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b)(a|b))*(aaa)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","((a|b){3}(a|b)*aaa+)|(aaa*)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b){3}(a|b)*aaa+"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)*(a|b)*(aaa)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)*(a|b)*(aaa)"
"Every b followed by two or more a's","(a|baa)*","(a*)|((a*b)aa+)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)*(aaa)"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(aa|ab|ba|bb)*a|b*(aaa)"
"Every b followed by two or more a's","(a|baa)*","(a)*((b)?a(a)+)*"
"Every b followed by two or more a's","(a|baa)*","(a*)|(((a*b)aa+)*)"
"Every b followed by two or more a's","(a|baa)*","a*(b(aa+))*"
"Odd number of b's","(a*ba*b)*a*ba*","a*ba*(a*ba*ba*)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)|(a|b)aaaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","bbb*aaaa*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","bbb*aaa*"
"At least one a followed by one b","a+b ","aa*b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","b*a(a|b)aaa*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(ab*b|a)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","a(a|b)aaa*"
"Odd number of b's","(a*ba*b)*a*ba*","a*|b+(a*|bb*)"
"Odd number of b's","(a*ba*b)*a*ba*","b+(a*|bb*)"
"At least one a followed by one b","a+b ","(ab)*"
"At least one a followed by one b","a+b ","(a*b)*"
"At least one a followed by one b","a+b ","(ab)+"
"At least one a followed by one b","a+b ","(a*b)+"
"At least one a followed by one b","a+b ","ab+"
"Every b followed by two or more a's","(a|baa)*","(baa)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa)*a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)+aaa"
"Every b followed by two or more a's","(a|baa)*","a*(baa*|a*)*"
"Every b followed by two or more a's","(a|baa)*","(baa*|a*)*"
"Every b followed by two or more a's","(a|baa)*","a*(baa)*a*"
"At least one a followed by one b","a+b ","(a|b)*a(a|b)*b(a|b)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+aaa"
"At least one a followed by one b","a+b ","(a)+b"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)+(aaa)+"
"Every b followed by two or more a's","(a|baa)*","(a)*(ba(a)+)*"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a|ba*b)*"
"At least one a followed by one b","a+b ","ab*"
"At least one a followed by one b","a+b ","a*b"
"Odd number of b's","(a*ba*b)*a*ba*","a*b(a*ba*b)*a*"
"Every b followed by two or more a's","(a|baa)*","(a|baa)*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)*(aaa)a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)*(aaa)a"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)|(a|b)*(aaa)a*"
"Two or more symbols, followed by at least three a's","(a|b)(a|b)+aaa+","(a|b)(a|b)(a|b)*(aaa)a*"
"At least one a followed by one b","a+b ","(a)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*)a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*baa[ab]*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","([a]*)|([b]*[a]*)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","[ab]*(baa)[ab]*b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","a*b*(baa+)b+"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)+b"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a|b)*(baa)(a|b)*b"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+)|(b*a*)"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","(a*b*|b*a*)*(baa+)(a*b*|b*a*)*b+"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","a+|b*a*"
"Contains baa and ends with b.","(a|b)*baa(a|b)*b","((a|b)*(baa)(a|b)*b)"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","((a+)|(b*a*))"
"Non-empty sequence of a's or sequence of b's followed by sequence of a's","b*a*","(a+|b*a*)"
